"","datetime","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"dtime.1633","2004-3-9 2:00:00",39,33,36,33,38,36,30,33,30,36,33
"dtime.1634","2004-3-9 3:00:00",39,33,33,33,38,37,29,31,28,36,33
"dtime.1635","2004-3-9 4:00:00",38,33,32,34,37,36,29,33,28,35,31
"dtime.1636","2004-3-9 5:00:00",37,33,33,32,36,35,28,30,29,34,32
"dtime.1637","2004-3-9 6:00:00",38,31,34,30,35,32,28,32,29,32,32
"dtime.1638","2004-3-9 7:00:00",33,32,33,30,34,32,27,30,28,32,32
"dtime.1639","2004-3-9 8:00:00",33,29,32,32,33,29,28,30,28,30,32
"dtime.1640","2004-3-9 9:00:00",44,32,33,37,37,36,35,38,33,36,33
"dtime.1641","2004-3-9 10:00:00",45,36,37,44,40,42,42,45,38,43,34
"dtime.1642","2004-3-9 11:00:00",47,37,40,45,40,44,44,47,41,45,36
"dtime.1643","2004-3-9 12:00:00",46,39,42,46,43,45,45,48,42,46,37
"dtime.1644","2004-3-9 13:00:00",49,42,44,47,44,48,46,49,42,49,40
"dtime.1645","2004-3-9 14:00:00",51,41,44,47,46,47,46,50,44,48,41
"dtime.1646","2004-3-9 15:00:00",51,42,46,48,46,48,46,49,45,48,42
"dtime.1647","2004-3-9 16:00:00",48,43,46,48,47,49,47,50,45,49,43
"dtime.1648","2004-3-9 17:00:00",48,43,46,49,45,49,47,53,46,50,41
"dtime.1649","2004-3-9 18:00:00",46,42,45,48,43,49,47,49,44,49,40
"dtime.1650","2004-3-9 19:00:00",42,42,43,45,40,47,44,47,43,47,39
"dtime.1651","2004-3-9 20:00:00",38,40,39,43,38,45,39,44,40,45,37
"dtime.1652","2004-3-9 21:00:00",35,40,36,42,37,45,39,43,39,45,37
"dtime.1653","2004-3-9 22:00:00",34,38,35,41,35,43,38,43,37,44,36
"dtime.1654","2004-3-9 23:00:00",35,38,32,40,33,43,37,42,37,43,35
"dtime.1655","2004-3-9 24:00:00",37,38,30,38,32,41,37,38,37,41,36
"dtime.1656","2004-3-10 1:00:00",37,36,30,35,32,38,36,35,36,38,35
"dtime.1657","2004-3-10 2:00:00",38,35,33,34,33,37,34,33,35,37,35
"dtime.1658","2004-3-10 3:00:00",38,35,32,35,35,37,32,35,34,37,34
"dtime.1659","2004-3-10 4:00:00",38,35,34,36,36,37,31,37,34,38,34
"dtime.1660","2004-3-10 5:00:00",38,34,34,36,38,37,33,36,35,38,34
"dtime.1661","2004-3-10 6:00:00",39,33,35,37,38,37,34,36,34,38,34
"dtime.1662","2004-3-10 7:00:00",38,32,36,37,38,36,34,36,32,36,33
"dtime.1663","2004-3-10 8:00:00",38,31,36,37,38,36,32,36,32,36,30
"dtime.1664","2004-3-10 9:00:00",40,31,38,39,40,37,34,38,34,38,31
"dtime.1665","2004-3-10 10:00:00",39,35,38,41,40,41,37,42,36,42,33
"dtime.1666","2004-3-10 11:00:00",40,37,40,41,41,43,38,44,39,44,35
"dtime.1667","2004-3-10 12:00:00",40,39,41,41,42,45,37,44,41,45,38
"dtime.1668","2004-3-10 13:00:00",40,43,41,39,42,47,37,41,41,46,40
"dtime.1669","2004-3-10 14:00:00",40,43,39,39,42,48,37,41,39,47,42
"dtime.1670","2004-3-10 15:00:00",38,44,41,39,41,45,41,41,41,45,43
"dtime.1671","2004-3-10 16:00:00",38,45,40,40,41,45,41,41,42,45,44
"dtime.1672","2004-3-10 17:00:00",37,45,40,38,42,45,42,43,42,45,45
"dtime.1673","2004-3-10 18:00:00",37,45,41,38,43,44,42,42,43,44,45
"dtime.1674","2004-3-10 19:00:00",38,43,41,39,42,43,41,43,41,44,43
"dtime.1675","2004-3-10 20:00:00",40,40,40,39,41,41,39,42,38,40,40
"dtime.1676","2004-3-10 21:00:00",40,37,40,39,40,39,38,42,37,39,36
"dtime.1677","2004-3-10 22:00:00",42,32,40,39,40,36,37,42,37,36,35
"dtime.1678","2004-3-10 23:00:00",40,30,39,38,40,35,36,40,36,36,30
"dtime.1679","2004-3-10 24:00:00",40,27,38,38,38,34,36,39,35,35,28
"dtime.1680","2004-3-11 1:00:00",41,26,38,38,39,33,35,38,32,33,27
"dtime.1681","2004-3-11 2:00:00",40,26,37,37,39,32,32,36,30,31,27
"dtime.1682","2004-3-11 3:00:00",40,24,37,37,37,31,32,36,29,30,25
"dtime.1683","2004-3-11 4:00:00",40,24,37,36,37,31,32,35,30,30,24
"dtime.1684","2004-3-11 5:00:00",40,22,36,35,36,30,32,35,28,29,23
"dtime.1685","2004-3-11 6:00:00",40,20,35,34,35,29,30,33,30,28,21
"dtime.1686","2004-3-11 7:00:00",40,22,35,33,35,29,30,33,29,27,21
"dtime.1687","2004-3-11 8:00:00",39,23,34,33,35,30,29,34,28,28,20
"dtime.1688","2004-3-11 9:00:00",43,26,35,37,38,35,37,39,35,34,24
"dtime.1689","2004-3-11 10:00:00",45,34,39,43,42,42,43,44,41,42,31
"dtime.1690","2004-3-11 11:00:00",47,41,43,45,45,47,48,48,45,48,36
"dtime.1691","2004-3-11 12:00:00",47,46,46,49,48,51,51,52,47,53,45
"dtime.1692","2004-3-11 13:00:00",47,50,49,52,51,54,52,55,51,54,49
"dtime.1693","2004-3-11 14:00:00",52,53,51,54,52,57,55,57,53,57,52
"dtime.1694","2004-3-11 15:00:00",51,55,51,56,53,59,57,61,56,60,55
"dtime.1695","2004-3-11 16:00:00",55,57,53,59,53,61,59,62,58,62,56
"dtime.1696","2004-3-11 17:00:00",55,58,53,60,54,61,59,62,58,62,56
"dtime.1697","2004-3-11 18:00:00",54,57,52,60,53,61,59,62,59,62,57
"dtime.1698","2004-3-11 19:00:00",50,54,50,57,48,57,57,60,56,58,54
"dtime.1699","2004-3-11 20:00:00",47,51,47,53,46,54,49,54,53,54,52
"dtime.1700","2004-3-11 21:00:00",46,51,47,49,47,52,48,53,45,53,51
"dtime.1701","2004-3-11 22:00:00",45,50,46,49,46,50,49,52,45,51,52
"dtime.1702","2004-3-11 23:00:00",45,49,44,49,44,50,48,51,46,52,52
"dtime.1703","2004-3-11 24:00:00",45,50,43,48,44,49,49,48,51,50,50
"dtime.1704","2004-3-12 1:00:00",46,48,43,49,44,51,50,48,51,51,47
"dtime.1705","2004-3-12 2:00:00",48,47,44,47,44,50,47,46,49,50,46
"dtime.1706","2004-3-12 3:00:00",49,47,46,48,43,48,46,45,46,47,47
"dtime.1707","2004-3-12 4:00:00",47,46,43,46,43,47,45,42,45,47,47
"dtime.1708","2004-3-12 5:00:00",47,45,40,46,41,46,45,45,46,47,44
"dtime.1709","2004-3-12 6:00:00",46,42,42,45,40,47,43,45,45,47,44
"dtime.1710","2004-3-12 7:00:00",45,39,42,44,42,44,42,45,44,46,41
"dtime.1711","2004-3-12 8:00:00",46,39,42,46,44,45,44,46,44,46,37
"dtime.1712","2004-3-12 9:00:00",52,40,45,51,47,50,49,53,46,51,39
"dtime.1713","2004-3-12 10:00:00",55,40,48,55,49,51,51,56,47,52,38
"dtime.1714","2004-3-12 11:00:00",56,41,49,58,49,53,53,59,47,54,40
"dtime.1715","2004-3-12 12:00:00",56,43,48,59,49,55,54,60,48,55,41
"dtime.1716","2004-3-12 13:00:00",57,45,48,61,47,56,54,61,48,57,43
"dtime.1717","2004-3-12 14:00:00",56,46,49,62,46,58,55,62,50,58,44
"dtime.1718","2004-3-12 15:00:00",56,47,47,62,48,59,56,63,53,59,47
"dtime.1719","2004-3-12 16:00:00",56,49,48,63,48,60,56,63,53,60,47
"dtime.1720","2004-3-12 17:00:00",52,50,48,63,47,60,57,63,53,60,49
"dtime.1721","2004-3-12 18:00:00",51,50,47,62,47,60,55,62,53,60,48
"dtime.1722","2004-3-12 19:00:00",47,48,45,58,45,57,52,57,50,57,45
"dtime.1723","2004-3-12 20:00:00",43,44,43,47,43,50,48,46,44,51,41
"dtime.1724","2004-3-12 21:00:00",39,42,40,43,41,46,45,39,40,44,39
"dtime.1725","2004-3-12 22:00:00",37,41,38,44,39,44,41,39,38,41,38
"dtime.1726","2004-3-12 23:00:00",34,41,35,38,38,46,39,34,36,40,38
"dtime.1727","2004-3-12 24:00:00",32,37,30,36,37,43,39,37,33,39,35
"dtime.1728","2004-3-13 1:00:00",31,36,32,35,35,40,36,35,32,38,34
"dtime.1729","2004-3-13 2:00:00",32,36,35,32,35,43,34,38,30,43,33
"dtime.1730","2004-3-13 3:00:00",37,33,33,35,34,41,35,35,30,38,32
"dtime.1731","2004-3-13 4:00:00",35,31,32,37,33,37,32,33,28,35,29
"dtime.1732","2004-3-13 5:00:00",36,30,26,34,33,34,29,29,26,33,30
"dtime.1733","2004-3-13 6:00:00",38,29,29,34,32,34,28,30,26,34,30
"dtime.1734","2004-3-13 7:00:00",36,27,31,33,31,33,27,28,26,33,27
"dtime.1735","2004-3-13 8:00:00",37,28,29,33,31,34,27,29,26,33,26
"dtime.1736","2004-3-13 9:00:00",38,31,31,38,34,39,34,38,32,39,31
"dtime.1737","2004-3-13 10:00:00",40,33,34,41,36,41,37,41,35,42,32
"dtime.1738","2004-3-13 11:00:00",41,35,36,44,38,43,41,45,38,44,34
"dtime.1739","2004-3-13 12:00:00",43,39,38,46,41,47,43,47,41,47,39
"dtime.1740","2004-3-13 13:00:00",43,42,39,49,42,49,45,52,43,50,41
"dtime.1741","2004-3-13 14:00:00",45,43,41,52,44,52,48,53,46,52,42
"dtime.1742","2004-3-13 15:00:00",44,47,43,53,44,53,49,54,49,54,45
"dtime.1743","2004-3-13 16:00:00",46,48,44,54,46,54,52,57,50,55,48
"dtime.1744","2004-3-13 17:00:00",46,49,45,53,47,55,50,55,51,55,49
"dtime.1745","2004-3-13 18:00:00",45,50,45,52,47,55,50,55,50,55,49
"dtime.1746","2004-3-13 19:00:00",42,47,44,49,45,51,47,51,46,52,47
"dtime.1747","2004-3-13 20:00:00",38,41,40,40,42,42,42,40,38,42,43
"dtime.1748","2004-3-13 21:00:00",35,38,36,37,36,41,39,35,35,39,38
"dtime.1749","2004-3-13 22:00:00",32,34,35,37,37,40,36,35,33,37,31
"dtime.1750","2004-3-13 23:00:00",32,31,31,35,35,38,34,35,32,35,30
"dtime.1751","2004-3-13 24:00:00",31,32,30,33,32,37,33,33,30,34,29
"dtime.1752","2004-3-14 1:00:00",30,31,28,31,31,36,31,33,29,34,27
"dtime.1753","2004-3-14 2:00:00",31,32,26,31,30,37,30,32,29,34,27
"dtime.1754","2004-3-14 3:00:00",29,32,28,29,30,36,30,29,28,34,28
"dtime.1755","2004-3-14 4:00:00",30,32,25,29,28,35,29,31,29,34,27
"dtime.1756","2004-3-14 5:00:00",28,32,26,29,28,35,29,31,28,34,32
"dtime.1757","2004-3-14 6:00:00",29,35,24,29,29,36,30,32,29,36,35
"dtime.1758","2004-3-14 7:00:00",30,35,25,30,29,37,30,34,29,36,36
"dtime.1759","2004-3-14 8:00:00",32,35,27,33,32,37,32,35,31,37,36
"dtime.1760","2004-3-14 9:00:00",40,37,29,38,35,39,35,38,34,39,39
"dtime.1761","2004-3-14 10:00:00",45,43,35,42,38,43,40,43,38,44,43
"dtime.1762","2004-3-14 11:00:00",47,47,40,45,43,47,43,49,42,49,45
"dtime.1763","2004-3-14 12:00:00",51,51,44,51,46,51,46,53,45,53,50
"dtime.1764","2004-3-14 13:00:00",53,54,46,53,49,55,51,56,51,56,52
"dtime.1765","2004-3-14 14:00:00",53,57,46,56,47,58,55,59,54,59,55
"dtime.1766","2004-3-14 15:00:00",54,58,47,59,49,60,57,61,56,61,56
"dtime.1767","2004-3-14 16:00:00",54,58,51,61,52,62,59,62,59,63,58
"dtime.1768","2004-3-14 17:00:00",51,58,51,61,51,63,60,63,59,63,57
"dtime.1769","2004-3-14 18:00:00",50,57,49,60,51,62,60,62,59,63,58
"dtime.1770","2004-3-14 19:00:00",49,56,48,58,48,60,57,60,58,61,57
"dtime.1771","2004-3-14 20:00:00",48,55,45,54,46,57,54,56,56,58,56
"dtime.1772","2004-3-14 21:00:00",47,53,43,54,45,55,55,56,54,56,54
"dtime.1773","2004-3-14 22:00:00",48,53,43,53,45,55,55,55,54,56,55
"dtime.1774","2004-3-14 23:00:00",50,54,44,54,47,55,54,54,54,55,56
"dtime.1775","2004-3-14 24:00:00",52,54,46,54,49,55,54,55,54,56,54
"dtime.1776","2004-3-15 1:00:00",52,53,49,55,50,56,55,56,54,56,53
"dtime.1777","2004-3-15 2:00:00",53,52,50,55,52,56,56,56,54,56,53
"dtime.1778","2004-3-15 3:00:00",56,51,53,55,55,55,55,57,53,56,52
"dtime.1779","2004-3-15 4:00:00",56,51,54,55,57,55,54,57,49,55,51
"dtime.1780","2004-3-15 5:00:00",56,50,54,56,55,56,52,58,47,54,47
"dtime.1781","2004-3-15 6:00:00",55,48,53,56,53,54,48,58,49,53,46
"dtime.1782","2004-3-15 7:00:00",55,47,51,55,50,53,48,56,45,51,43
"dtime.1783","2004-3-15 8:00:00",55,45,48,55,50,52,47,55,45,51,41
"dtime.1784","2004-3-15 9:00:00",55,46,49,56,52,54,50,59,46,53,43
"dtime.1785","2004-3-15 10:00:00",58,47,51,56,54,55,55,61,52,57,46
"dtime.1786","2004-3-15 11:00:00",58,48,53,57,56,57,57,61,55,58,49
"dtime.1787","2004-3-15 12:00:00",61,51,56,60,58,59,61,63,58,60,51
"dtime.1788","2004-3-15 13:00:00",61,54,57,62,60,59,62,65,60,60,54
"dtime.1789","2004-3-15 14:00:00",61,57,58,62,61,59,63,65,60,61,57
"dtime.1790","2004-3-15 15:00:00",60,59,60,62,62,60,67,66,62,63,58
"dtime.1791","2004-3-15 16:00:00",58,61,61,62,62,62,67,65,64,65,60
"dtime.1792","2004-3-15 17:00:00",56,60,60,61,62,62,65,66,64,65,61
"dtime.1793","2004-3-15 18:00:00",56,60,60,61,61,61,64,64,63,64,60
"dtime.1794","2004-3-15 19:00:00",53,56,58,58,59,59,59,61,59,60,58
"dtime.1795","2004-3-15 20:00:00",49,53,55,56,53,55,56,59,51,56,54
"dtime.1796","2004-3-15 21:00:00",47,49,49,55,49,54,54,56,50,54,52
"dtime.1797","2004-3-15 22:00:00",45,49,44,54,45,55,51,56,48,55,50
"dtime.1798","2004-3-15 23:00:00",47,46,42,54,45,54,49,56,47,54,47
"dtime.1799","2004-3-15 24:00:00",48,45,40,53,44,53,48,54,46,53,44
"dtime.1800","2004-3-16 1:00:00",47,44,42,53,42,53,48,53,46,53,44
"dtime.1801","2004-3-16 2:00:00",48,45,35,52,42,53,48,53,46,53,44
"dtime.1802","2004-3-16 3:00:00",48,45,40,53,42,53,48,53,46,53,43
"dtime.1803","2004-3-16 4:00:00",48,45,43,53,44,53,48,53,44,53,41
"dtime.1804","2004-3-16 5:00:00",48,47,42,53,44,53,48,54,44,53,42
"dtime.1805","2004-3-16 6:00:00",47,45,44,52,44,52,46,53,44,52,40
"dtime.1806","2004-3-16 7:00:00",46,44,42,52,41,51,46,51,44,51,40
"dtime.1807","2004-3-16 8:00:00",46,45,41,52,40,51,46,51,42,51,40
"dtime.1808","2004-3-16 9:00:00",46,44,39,50,39,51,43,49,40,50,39
"dtime.1809","2004-3-16 10:00:00",46,44,38,50,38,51,41,47,39,49,39
"dtime.1810","2004-3-16 11:00:00",44,42,38,50,38,51,42,46,38,49,37
"dtime.1811","2004-3-16 12:00:00",44,42,38,48,39,50,41,46,37,48,37
"dtime.1812","2004-3-16 13:00:00",45,41,39,49,39,50,41,47,37,47,38
"dtime.1813","2004-3-16 14:00:00",46,41,39,49,39,49,41,48,38,47,38
"dtime.1814","2004-3-16 15:00:00",46,41,40,49,39,48,41,46,38,46,38
"dtime.1815","2004-3-16 16:00:00",46,41,39,50,39,46,39,46,36,45,39
"dtime.1816","2004-3-16 17:00:00",47,41,39,48,39,45,39,46,36,44,38
"dtime.1817","2004-3-16 18:00:00",47,41,39,47,39,44,39,46,36,43,39
"dtime.1818","2004-3-16 19:00:00",46,40,39,46,38,43,38,45,36,42,38
"dtime.1819","2004-3-16 20:00:00",44,39,38,45,39,42,37,43,36,41,37
"dtime.1820","2004-3-16 21:00:00",43,37,38,43,39,41,37,42,35,40,37
"dtime.1821","2004-3-16 22:00:00",41,37,38,42,38,40,35,40,34,39,36
"dtime.1822","2004-3-16 23:00:00",40,36,38,41,38,40,36,40,34,39,36
"dtime.1823","2004-3-16 24:00:00",40,36,38,40,38,40,36,40,34,39,35
"dtime.1824","2004-3-17 1:00:00",40,36,37,40,38,40,36,40,34,39,35
"dtime.1825","2004-3-17 2:00:00",40,35,37,40,38,38,36,39,34,38,35
"dtime.1826","2004-3-17 3:00:00",40,35,37,39,38,38,35,38,34,38,35
"dtime.1827","2004-3-17 4:00:00",40,34,36,39,37,38,36,38,34,38,34
"dtime.1828","2004-3-17 5:00:00",40,34,36,38,36,38,35,38,34,38,34
"dtime.1829","2004-3-17 6:00:00",40,34,36,39,36,38,35,38,34,38,34
"dtime.1830","2004-3-17 7:00:00",40,34,36,39,35,38,33,38,33,38,34
"dtime.1831","2004-3-17 8:00:00",40,35,35,39,35,38,32,38,33,38,34
"dtime.1832","2004-3-17 9:00:00",42,35,35,40,35,37,35,40,34,38,34
"dtime.1833","2004-3-17 10:00:00",45,36,35,43,36,39,38,42,36,39,35
"dtime.1834","2004-3-17 11:00:00",45,37,37,45,37,40,38,45,36,40,35
"dtime.1835","2004-3-17 12:00:00",46,38,37,45,38,42,39,44,37,43,38
"dtime.1836","2004-3-17 13:00:00",46,39,38,45,40,43,40,44,37,43,39
"dtime.1837","2004-3-17 14:00:00",46,40,39,45,40,44,41,45,38,45,41
"dtime.1838","2004-3-17 15:00:00",45,41,40,45,41,44,43,45,39,45,41
"dtime.1839","2004-3-17 16:00:00",45,41,39,45,39,45,41,45,40,45,41
"dtime.1840","2004-3-17 17:00:00",45,42,39,45,37,46,42,45,41,46,41
"dtime.1841","2004-3-17 18:00:00",43,41,39,45,37,45,41,45,40,46,41
"dtime.1842","2004-3-17 19:00:00",42,40,39,44,37,44,41,45,40,45,40
"dtime.1843","2004-3-17 20:00:00",40,39,37,40,37,42,40,44,39,44,39
"dtime.1844","2004-3-17 21:00:00",40,37,37,41,37,40,39,43,35,41,37
"dtime.1845","2004-3-17 22:00:00",40,36,35,41,37,39,38,43,35,40,36
"dtime.1846","2004-3-17 23:00:00",40,33,35,41,36,36,36,42,34,37,34
"dtime.1847","2004-3-17 24:00:00",40,34,35,40,36,37,37,40,33,37,33
"dtime.1848","2004-3-18 1:00:00",40,32,35,38,35,36,36,38,34,34,34
"dtime.1849","2004-3-18 2:00:00",39,31,33,38,34,36,35,36,33,33,35
"dtime.1850","2004-3-18 3:00:00",38,33,33,38,34,35,34,33,33,32,32
"dtime.1851","2004-3-18 4:00:00",39,35,33,35,34,35,34,32,33,33,31
"dtime.1852","2004-3-18 5:00:00",37,35,33,33,34,35,34,35,32,34,34
"dtime.1853","2004-3-18 6:00:00",37,34,32,33,33,34,34,35,33,34,34
"dtime.1854","2004-3-18 7:00:00",38,33,31,36,33,34,34,35,33,35,32
"dtime.1855","2004-3-18 8:00:00",37,34,31,38,33,36,34,37,33,36,31
"dtime.1856","2004-3-18 9:00:00",38,36,32,38,34,39,35,38,33,38,33
"dtime.1857","2004-3-18 10:00:00",43,38,33,43,35,44,37,42,35,43,36
"dtime.1858","2004-3-18 11:00:00",47,44,34,50,39,51,38,48,35,49,41
"dtime.1859","2004-3-18 12:00:00",50,47,39,54,41,55,41,54,38,54,44
"dtime.1860","2004-3-18 13:00:00",52,49,41,57,42,56,46,57,42,56,47
"dtime.1861","2004-3-18 14:00:00",53,52,44,60,45,55,50,61,44,57,50
"dtime.1862","2004-3-18 15:00:00",54,54,46,58,45,56,54,60,48,58,51
"dtime.1863","2004-3-18 16:00:00",53,52,45,57,45,54,56,59,50,56,51
"dtime.1864","2004-3-18 17:00:00",51,51,45,56,45,53,56,59,51,55,49
"dtime.1865","2004-3-18 18:00:00",50,50,45,55,45,53,54,56,48,54,49
"dtime.1866","2004-3-18 19:00:00",47,49,43,53,43,52,51,54,46,53,47
"dtime.1867","2004-3-18 20:00:00",47,48,42,52,40,52,49,53,45,53,45
"dtime.1868","2004-3-18 21:00:00",47,47,40,51,41,51,48,53,45,53,45
"dtime.1869","2004-3-18 22:00:00",48,47,40,51,41,50,48,53,43,52,45
"dtime.1870","2004-3-18 23:00:00",48,46,42,51,42,50,48,52,43,51,44
"dtime.1871","2004-3-18 24:00:00",48,47,42,50,42,49,46,51,42,50,45
"dtime.1872","2004-3-19 1:00:00",48,46,42,50,43,49,47,51,44,50,44
"dtime.1873","2004-3-19 2:00:00",48,45,42,51,44,48,46,50,42,50,43
"dtime.1874","2004-3-19 3:00:00",48,44,43,52,44,48,46,53,39,49,41
"dtime.1875","2004-3-19 4:00:00",49,45,44,52,44,49,45,51,39,49,42
"dtime.1876","2004-3-19 5:00:00",48,45,44,51,44,50,44,48,39,49,43
"dtime.1877","2004-3-19 6:00:00",48,45,44,49,45,50,44,48,42,49,42
"dtime.1878","2004-3-19 7:00:00",49,43,45,49,45,48,43,50,43,48,41
"dtime.1879","2004-3-19 8:00:00",48,42,43,51,43,49,43,51,43,49,41
"dtime.1880","2004-3-19 9:00:00",48,43,40,53,40,51,47,53,45,51,40
"dtime.1881","2004-3-19 10:00:00",47,44,40,53,36,52,48,54,45,52,42
"dtime.1882","2004-3-19 11:00:00",44,45,37,54,37,53,47,54,45,53,44
"dtime.1883","2004-3-19 12:00:00",47,46,38,54,40,55,47,55,46,55,44
"dtime.1884","2004-3-19 13:00:00",46,47,39,54,42,56,47,55,45,55,43
"dtime.1885","2004-3-19 14:00:00",46,49,41,53,42,57,47,55,48,56,45
"dtime.1886","2004-3-19 15:00:00",46,50,42,54,44,57,49,55,49,57,49
"dtime.1887","2004-3-19 16:00:00",46,51,42,54,44,58,52,56,51,58,49
"dtime.1888","2004-3-19 17:00:00",47,52,44,54,45,59,51,54,51,58,51
"dtime.1889","2004-3-19 18:00:00",46,52,44,52,45,58,50,54,51,57,50
"dtime.1890","2004-3-19 19:00:00",44,51,43,49,44,55,48,51,49,55,48
"dtime.1891","2004-3-19 20:00:00",41,45,41,44,42,49,44,45,43,48,47
"dtime.1892","2004-3-19 21:00:00",39,39,38,42,39,45,39,42,38,44,42
"dtime.1893","2004-3-19 22:00:00",36,39,38,39,36,45,38,41,38,43,37
"dtime.1894","2004-3-19 23:00:00",35,36,32,39,35,41,37,40,34,41,34
"dtime.1895","2004-3-19 24:00:00",34,36,30,36,33,42,35,35,32,41,33
"dtime.1896","2004-3-20 1:00:00",32,35,28,33,31,41,33,33,30,38,29
"dtime.1897","2004-3-20 2:00:00",30,31,30,33,31,37,32,33,29,35,29
"dtime.1898","2004-3-20 3:00:00",30,29,28,31,29,35,31,31,29,33,27
"dtime.1899","2004-3-20 4:00:00",30,30,26,31,29,34,30,30,28,32,33
"dtime.1900","2004-3-20 5:00:00",30,27,25,30,29,32,30,30,29,30,28
"dtime.1901","2004-3-20 6:00:00",29,28,26,29,28,31,29,29,28,30,29
"dtime.1902","2004-3-20 7:00:00",29,27,25,29,27,30,29,28,28,29,31
"dtime.1903","2004-3-20 8:00:00",32,28,24,30,29,32,31,31,30,31,29
"dtime.1904","2004-3-20 9:00:00",44,34,29,39,37,40,39,41,37,40,36
"dtime.1905","2004-3-20 10:00:00",46,40,37,44,42,43,45,46,42,45,42
"dtime.1906","2004-3-20 11:00:00",50,48,44,48,46,48,48,51,46,49,49
"dtime.1907","2004-3-20 12:00:00",52,53,46,52,49,52,53,53,51,54,54
"dtime.1908","2004-3-20 13:00:00",53,58,49,55,51,56,55,57,54,57,59
"dtime.1909","2004-3-20 14:00:00",54,62,50,57,53,60,57,61,56,61,62
"dtime.1910","2004-3-20 15:00:00",54,65,52,61,55,63,61,63,60,64,64
"dtime.1911","2004-3-20 16:00:00",55,66,53,62,54,65,63,66,62,66,65
"dtime.1912","2004-3-20 17:00:00",53,65,53,63,54,66,64,66,63,67,64
"dtime.1913","2004-3-20 18:00:00",52,66,53,63,54,65,64,66,64,66,66
"dtime.1914","2004-3-20 19:00:00",50,64,51,62,51,63,63,64,63,64,65
"dtime.1915","2004-3-20 20:00:00",50,63,48,60,48,62,61,62,61,63,62
"dtime.1916","2004-3-20 21:00:00",51,62,46,59,47,61,59,62,60,62,61
"dtime.1917","2004-3-20 22:00:00",52,61,46,59,49,61,61,62,61,62,63
"dtime.1918","2004-3-20 23:00:00",52,60,48,59,50,60,61,61,61,62,62
"dtime.1919","2004-3-20 24:00:00",56,59,50,57,53,59,62,61,61,61,61
"dtime.1920","2004-3-21 1:00:00",56,58,54,58,56,60,62,61,61,62,59
"dtime.1921","2004-3-21 2:00:00",56,58,55,59,56,59,62,61,61,61,59
"dtime.1922","2004-3-21 3:00:00",56,57,54,59,57,60,62,61,61,62,57
"dtime.1923","2004-3-21 4:00:00",58,57,53,60,59,61,59,62,59,62,55
"dtime.1924","2004-3-21 5:00:00",58,55,55,60,56,60,57,62,58,62,53
"dtime.1925","2004-3-21 6:00:00",58,50,55,61,55,59,57,63,55,61,50
"dtime.1926","2004-3-21 7:00:00",55,48,51,61,54,58,56,63,54,59,47
"dtime.1927","2004-3-21 8:00:00",53,46,50,61,51,57,56,63,51,57,45
"dtime.1928","2004-3-21 9:00:00",53,45,50,61,53,54,56,62,52,55,43
"dtime.1929","2004-3-21 10:00:00",51,43,51,59,55,53,54,61,50,55,43
"dtime.1930","2004-3-21 11:00:00",51,44,51,60,53,55,54,62,49,56,44
"dtime.1931","2004-3-21 12:00:00",54,44,52,62,52,56,52,62,48,56,42
"dtime.1932","2004-3-21 13:00:00",55,44,51,63,52,55,53,62,48,56,42
"dtime.1933","2004-3-21 14:00:00",54,45,51,63,51,56,56,63,51,57,42
"dtime.1934","2004-3-21 15:00:00",54,43,50,63,50,55,53,61,47,56,42
"dtime.1935","2004-3-21 16:00:00",53,42,49,62,52,54,53,60,48,55,40
"dtime.1936","2004-3-21 17:00:00",51,43,50,60,49,53,50,58,46,54,42
"dtime.1937","2004-3-21 18:00:00",49,40,48,56,48,49,48,55,45,51,39
"dtime.1938","2004-3-21 19:00:00",47,38,45,53,46,46,46,53,44,47,38
"dtime.1939","2004-3-21 20:00:00",45,35,43,51,43,43,44,50,41,44,36
"dtime.1940","2004-3-21 21:00:00",44,34,40,49,42,42,41,48,38,43,34
"dtime.1941","2004-3-21 22:00:00",43,34,39,47,40,40,38,46,36,40,34
"dtime.1942","2004-3-21 23:00:00",41,33,38,45,38,39,38,44,35,39,32
"dtime.1943","2004-3-21 24:00:00",40,32,37,43,37,38,36,42,34,38,32
"dtime.1944","2004-3-22 1:00:00",38,32,35,41,36,37,35,40,34,37,32
"dtime.1945","2004-3-22 2:00:00",37,30,33,39,34,35,33,38,33,35,29
"dtime.1946","2004-3-22 3:00:00",37,30,32,37,33,35,32,36,31,35,29
"dtime.1947","2004-3-22 4:00:00",35,29,31,36,32,33,31,35,29,33,29
"dtime.1948","2004-3-22 5:00:00",35,27,31,34,31,30,29,32,28,30,27
"dtime.1949","2004-3-22 6:00:00",33,27,29,33,31,30,29,29,29,29,27
"dtime.1950","2004-3-22 7:00:00",33,28,29,32,30,31,29,29,26,30,26
"dtime.1951","2004-3-22 8:00:00",35,28,28,34,31,33,30,33,29,32,26
"dtime.1952","2004-3-22 9:00:00",35,28,31,36,33,34,32,35,31,33,26
"dtime.1953","2004-3-22 10:00:00",37,28,31,37,33,35,33,36,33,35,28
"dtime.1954","2004-3-22 11:00:00",36,31,33,38,35,36,36,38,35,36,31
"dtime.1955","2004-3-22 12:00:00",38,32,35,40,37,39,38,41,36,39,31
"dtime.1956","2004-3-22 13:00:00",40,33,35,42,38,39,39,42,37,40,33
